"","Q025.estres","Q025.incremento","Q025.sin_cambio","Q025.reduccion"
"2024-02-21",-0.123274871989683,-0.111483116649325,-0.0302213796018231,-0.022933062990938
"2024-02-22",-0.12303786284024,-0.111242919780249,-0.0301527250772086,-0.0226689279772483
"2024-02-23",-0.121660478705808,-0.109847010139699,-0.0289605166558844,-0.0211339012575642
"2024-02-28",-0.120974814825935,-0.109152124235203,-0.0274097368175449,-0.0203697626632411
"2024-02-29",-0.121127230522751,-0.109306589888784,-0.0281885297234868,-0.0205396224440119
"2024-03-01",-0.126071021983033,-0.114316874229777,-0.0338455836785082,-0.0260492343223335
"2024-03-05",-0.123952404355858,-0.112169761673095,-0.0309032180610305,-0.0236881394140868
"2024-03-06",-0.123274452591735,-0.111482691610569,-0.0303588805918548,-0.0229325955925992
"2024-03-07",-0.123735451061456,-0.111949890405789,-0.0308145328161835,-0.023446355662187
"2024-03-08",-0.120138119295185,-0.108304175338173,-0.0268884484141311,-0.0194373067391198
"2024-03-13",-0.120520873326159,-0.108692077324583,-0.0272636252365053,-0.0198638672387839
"2024-03-14",-0.118294752893777,-0.106436016074197,-0.0248222909321874,-0.0173829657534831
"2024-03-15",-0.117294375698813,-0.105422184031467,-0.0234237088921214,-0.0162680946832824
"2024-03-19",-0.117139014758633,-0.105264733521663,-0.0233170516692649,-0.0160949525739681
"2024-03-20",-0.119984512123274,-0.108148502184426,-0.0265283165842078,-0.0192661191180896
"2024-03-21",-0.121361140105466,-0.109543645502658,-0.0282908544626586,-0.0208003031433764
"2024-03-22",-0.116837950386636,-0.104959619901728,-0.0229760190321032,-0.0157594311723432
"2024-03-26",-0.117682739405647,-0.105815771142612,-0.0238900812972126,-0.0167009068901622
"2024-03-27",-0.117759369357062,-0.1058934317496,-0.0243785909940393,-0.0167863071935417
"2024-03-28",-0.117683669379966,-0.105816713624876,-0.0240307034230975,-0.0167019433006982
"2024-04-02",-0.118677633114002,-0.106824045947075,-0.0245804904052511,-0.0178096668848463
"2024-04-03",-0.116915707100514,-0.105038422425879,-0.0232157466813585,-0.0158460871969432
"2024-04-04",-0.119290345870008,-0.107444999551532,-0.0258977975146575,-0.0184925050477441
"2024-04-05",-0.118830726423072,-0.106979198326642,-0.0256828691420524,-0.0179802818310716
"2024-04-09",-0.120815944376052,-0.108991117013582,-0.0270888446309099,-0.0201927093783638
"2024-04-11",-0.119900623483092,-0.108063485260943,-0.0260666534794022,-0.0191726293638961
"2024-04-12",-0.118907422472682,-0.107056925920831,-0.0251043627171975,-0.0180657557976309
"2024-04-16",-0.117070776914609,-0.105195577894018,-0.0232331212833994,-0.016018904860587
"2024-04-17",-0.11936481416674,-0.107520469430069,-0.0254506895185034,-0.0185754962935386
"2024-04-18",-0.120588128655613,-0.108760237223057,-0.0268287544510459,-0.0199388199881088
"2024-04-19",-0.123855330584825,-0.112071382281725,-0.0300427703060601,-0.023579955481522
"2024-04-23",-0.125614286703199,-0.113853995963387,-0.0331991170603726,-0.025540225367721
"2024-04-25",-0.123637179783767,-0.111850297401567,-0.0309291622109904,-0.023336837167484
"2024-04-26",-0.125234885244927,-0.113469491641026,-0.0325632247247671,-0.025117401145069
